"article_name"	"discussion_text"
"ماء"	"اقترح صورة اكثر تعبيراً. الصورة المرفقة فنية اكثر منها تعبيرية. :أبو سليمان الماء تم مسح الإضافة من موقع http://www.uae.gov.ae/uaeagricent/wateranddam/chemicwater.stm إذا وجد تصريح يمكن إعادة وضعها --Tarawneh 10:07, 18 نوفمبر 2005 (UTC) أعتقد من المفيد أعادة الموقع الخارجي للمقالة تحت تبويب وصلات خارجية. المستخدم موهند . تم وضعها يا موهند - رامي اهتمام الماء ليس له طعم و ان كان فيه طعم ذلك بسبب المواد المذابة فيه التي تعمل على تعقيمه اهمها الكلور . مصطفى خالد 14:47، 4 ديسمبر 2008 (UTC) --188.249.91.212 (نقاش) 21:22، 15 أغسطس 2014 (ت ع م)== دراسة الماء الحالية من قبل العلماء == يقال ان هناك حالة رابعة للماء ويتم دراستها بشكل يومي من العلماء المتخصصين للطبيعة ولكن لم تنشر بعد او تم قولها للعالم لان هناك شيء يحيرهم فيه
وبعضهم يقال انه معلوومات سريه لن بتم افشاخه ابدا♥وما هذه الحالة الرابعة الصورة المرفقة في المقالة و التي تشير الى الماء في المملكة العربية السعودية اعتبرها مسيىئة و تحتمل اللاحيادية في وصف الحقائق مما يجعلها لا تليق بمقالة في الويكيبديا
--AROMaa (نقاش) 16:31، 30 نوفمبر 2014 (ت ع م)"
"رياضيات"	"

من هو جابر بن حيان؟ أنظر http://66.102.7.104/search?q=cache:P_gLei7ADFUJ:www.tawjihe.com/university/arabic/prose/Jaber%2520Bin%2520Hayyan/1.htm+jaber+hayyan&hl=en&ie=UTF-8 المصطلحات الرياضية في العربية ربما لم ينقل العرب مصطلحا رياضيا بشكل مقبول بعد تعبير ""التفاضل والتكامل"".
يلزمنا أن يتوافق محررو ويكيبيديا من العرب على مصدر واحد للمصطلحات، وأقترح تحرير صفحة بعنوان مصطلحات رياضية يدرج فيها كل مصطلح رياضي نستخدمه باللغة العربية والمقابل له في الإنجليزية و/ أو الفرنسية.
--Hany M. El-Hosseiny 09:45، 18 يوليو 2007 (UTC) هذا صحيح تماما. أين يمكن انشاء مثل هذه الصفحة!؟
M7ossny 10:49، 3 فبراير 2008 (UTC) الرياضيات المتقطعة توجد تسميات عدة للـ Discrete Mathematics. أعتقد أصوبها وأقربها للواقع 'الرياضيات المحددة'. M7ossny 10:49، 3 فبراير 2008 (UTC) أظن أن كلمة متقطعة هي الأنسب كما في تعبير الإشارات التماثلية والمتقطعة. كحالة خاصة تنشق الرياضيات المنطقية من الرياضيات المتقطعة ذلك أن كليهما متقطع على فترات إلا أن الإشارة المتقطعة يمكن أن تحمل أكثر من قيمتين بينما المنطقية أو الرقمية تأخذ قيمتين فقط. --Email4mobile (نقاش) 00:24، 31 أغسطس 2009 (ت‌ع‌م) : أتفق معك في الرأي. مبتدئ (نقاش) 00:43، 31 أغسطس 2009 (ت‌ع‌م) هل تعلم هل تعلم أن الحلوى تجعلك أكبر سنا؟ هل تعلم هل تعلم أن الحلوى تجعلك أكبر سنا؟"
"الصفحة الرئيسية"	"تحديث وصلات الإنترويكي تحياتي للجميع؛ قمت بتحديث قائمة وصلات الإنترويكي على الصفحة الرئيسية طبقا للمعايير التالية: مشاريع ويكيبيديا التي بها أكثر من 50 ألف مقالة. مشاريع ويكيبيديا المكتوبة بالخط (السكريبت) العربي. يتم إزالة مشاريع ويكيبيديا التي معظم مقالاتها من إنشاء البوت. قمت أيضا بإضافة نفس وصلات الإنترويكي لتظهر في صفحة أحدث التغييرات؛ القائمة تم إعداداها يدويا، لذا ربما تكون بها بعض الأخطاء؛ تحياتي. --Meno25 (نقاش) 16:28، 31 يوليو 2015 (ت ع م) شكراً . اقترح عدم إضافة اللهجات العربية للقائمة في الصفحة الأولى. في هذه الحالة تحذف اللهجة المصرية.--Helmoony (نقاش) 20:44، 31 يوليو 2015 (ت ع م) :أولا: الوصلة لموقع ويكيبيديا مصري كانت موجودة في النسخة قبل تعديلي طبقا للمعيار ""اللغة دارجة في إحدى الدول العربية أو تربطها صلة قرابة باللغة العربية (اللغات السامية).""، وأنا أبقيتها كما هي؛ ثانيا: ويكيبيديا الإنجليزية تقوم بوضع وصلة لموقع simple في الصفحة الرئيسية، وتضع الوصلة أعلى قائمة الوصلات بدلا من الترتيب الطبيعي للوصلات؛ ثالثا: بشكل عام من الأفضل وجود وصلات للمواقع التي تستخدم السكريبت العربي لأن هذه اللغات/اللهجات موجودة في دول قريبة من العالم العربي ومتأثرة بالثقافة العربية. --Meno25 (نقاش) 04:42، 1 أغسطس 2015 (ت ع م) عذراً أخي  ولكن من خلال مطالعتي مؤخراً لويكيبيديا مصري فوجئت بأن الكثير من مقالاتها عبارة عن مقالات بوتية أو سطر واحد وفارغة من المحتوى ، وهناك بعض المستخدمين يقومون بتشغيل برامج او أدوات تقوم بجلب المقالات من ويكيبيديا العربية (بدون أي تعديل)، لذلك أعتقد أنه يجب إزالتها لكونها تقع ضمن المعيار رقم 3 (بصرف النظر عن أي خلاف فكري معها) -- 05:05، 1 أغسطس 2015 (ت ع م)"
"إستونيا"	"Greetings. Several interwikis articles on ""geography"" are linking to this page, which appears to be about the country of Estonia. Can someone please look into this? Thanks.. Fleminra 21:24, 25 اغسطس 2004 (UTC) Working on it, thanks for notifying us. --أيمن 15:41, 26 اغسطس 2004 (UTC) لقد اضفت الأسم الرسمي للبلاد باللغة الأصلية في الجدول لكن تمت ازالته! يرجى اضافة الأسم باللغة الإستونية وعدم مسحها لأنه تتواجد في باقي الويكيبيديات Πadim Λlexander (نقاش) 17:29، 20 نوفمبر 2010 (ت ع م)"
"تلفاز"	"تلفاز وليس الرائي هي التسمية التي توصل إليها المجتمع بعد حوار في الميدان. كما أن الرائي تعني الجهاز الذي نملكه في بيتنا حتى نشاهد بث التلفزة. والتلفاز كلمة تشمل هذا الجهاز وأجهزة البث ومحطة البث. تحياتي.-- بروديوسر (حوار • مساهمات) 00:30، 26 يناير 2009 (UTC) مرحبا أستاذ نسيب، هل ""الرائي"" كلمة في مجال التلفاز أو اسم يطلق على التلفاز ؟ --O.Waqfi (نقاش) 00:42، 26 يناير 2009 (UTC) مرحبا أخي ، سؤالك جيد وفي محله، وهي كلمة بلا شك نتيجة اجتهاد جيد ولكنها لا تعبر عن الصناعة بصورتها الشاملة، البث المرئي كلمة أكثر شمولا للتلفزيون وأقرب للمعنى، وبرأيي يمكن دمجها في كلمة واحدة ونقول مثلا (بثمرئي) ولكن هذا بحاجة إلى مجمع لغوي وفريق ضالع في العلوم واللغة. ولذلك أفضل استخدام كلمة التلفاز المتفق عليها بالرغم أن كلمة تلفزيون أكثر شيوعا. تحياتي.-- بروديوسر (حوار • مساهمات) 00:48، 26 يناير 2009 (UTC) نعم اذا، المتعارف عليها "" تلفزيون "" ولكن بالفصحة تلفاز. لم نتكلم منذ أكثر من 6 أشهر، سررت بالتكلم معك.تحياتي.  --O.Waqfi (نقاش) 00:54، 26 يناير 2009 (UTC) مرحبًا أخي نسيب، إن تسمية الرائي ليست اصطلاحًا، فقد أجمع عليه المجمع في دمشق، ولست متأكدًا من المجامع الأخرى، وهذا يعود إلى أكثر من ثلاثين سنة، فلا بأس أن يكون هناك تحويلة باسم تلفاز إلى صفحة الرائي. ومثال على ذلك ميكروفون.--Aboalbiss (نقاش) 08:02، 26 يناير 2009 (UTC) أهلا يا صديقي، أنا غير مختلف معك على مسمى الرائي فهو صحيح 100%، ولكن يخيل لي أن المقصود منه شاشة التلفزيون فقط، وليس كامل عملية التلفزة. وحتى الشاشات أنواع، منها لاستقبال البث والتي نقتنيها في بيوتنا، ومنها لعرض صورة من مصدر مسجل أو من كاميرا، ومنها لعرض نص المذيع وغيرها، فكيف تسميها جميعا؟ لو أن المجمع وضع تعريبا لكل هذا ممتاز فلدينا المرجع، ولكن إن لم يكن قد وضع هذه الترجمات يكون بحثا أصيلا. كما أن هنا وفي هذا المقال يتحدث عن وحدات أخرى في هذه الصناعة. ومثال آخر كما أن في الشام مثلا يستخدمون كلمة مشفى، وهي برأيي أصح من الكلمة التي نستخدمها مستشفى، ولكن أيهما أعم؟ وأيها استخدم في الموسوعة. سوريا كتابة غير مستخدمة دائما لكتابة اسم سورية ولكن تم الاتفاق في الموسوعة على استخدام كلمة سوريا. على كل حال، التباين في الكلمات في الموسوعة دائم، ولكن جرت العادة عند تغيير اسم تمت مناقشته سابقا أن تعاد مناقشته ثانية قبل التغيير. تحياتي واحترامي.-- بروديوسر (حوار • مساهمات) 09:01، 29 يناير 2009 (UTC)"
"عنكبوت"	"ما هذا التخريب للصّفحة...؟ أرجو أن لا تحذف صفحة النقاش هذه من فضلكم ترجمان05 (نقاش) 20:28، 17 يونيو 2009 (ت‌ع‌م) أسأل صاحب المقال : هل سمك خيط العنكبوت جزء من 400 جزء من سمك شعرة الانسان أم جزء من 4000 جزء من سمك شعرة الانسان."
"قرطاج"	"مسودة وفي نهاية القرن التاسع عشر، انتصبت الحماية الفرنسية على تونس، فعادت الحياة إلى آثار الحاضرة القديمة، واستقرت بها بالخصوص بعض المجموعات الدينيّة. وشيّدت مبان لسكنى الشخصيات الرسميّة والمغتربين المترفين، وسرعان ما التحقت بهم برجوازية تونس العاصمة، بل وحاشية الأسرة المالكة إنذاك،حيث ابتنت قصورا للاصطياف. وبعد الاستقلال وإعلان الجمهورية سنة 1957، عادت قرطاج مركز الثقل في البلاد، إذ احتضنت القصر الرئاسيّ. من هذا الماضي الطويل والمجيد، لم تبق لنا إلاّ بعض البقايا الجميلة، وقرون من السلب والنهب، والتمدين الذي ظلّ، لمدّة طويلة، خارجا عن أيّ تقنين، فأتت على الجانب الأوفر من هذا الموقع الذي يمسح 306 هكتارا من العهد البوني ورثنا، على جنبات ربوة بيرصا، حيّا سكنيّا (القرن الثاني ق.م.) هو حيّ حنّبعل. وعلى طول الشاطىء، أخرجت إلى النور آثار حيّ أقدم منه يسمّى حيّ ماجن، وراء أسوار المدينة. كما ورثنا حوض الميناء العسكريّ مع جزيرة صغيرة، في وسطها مركز القيادة البحريّة، حيث يمكن تبيّن تراصف السفن الحربيّة، وكذلك جزء من الحوض التجاريّ. وعلى مقربة منه "" الطوفت"" وكان مكرّسا للإلهين الحاميين لقرطاج : بعل حمّون وتانيت. ومازال هذا المقام يستقبل مجموعة من الأنصاب التذكاريّة والمرمدات الجنائزيّة، كما احتفظ بالمذبح الذي كانت تقدّم فيه القربان، وبعضها بشرية،كما تقول الرواية القديمة. وأخيرا، فانّ المقابر الكبرى التي اكتشفت في مواضع مختلفة من الموقع زوّدت المتاحف، وخاصّة متحف قرطاج، بلقى ثمينة تعدّ شهادة على مظاهر عديدة من حياة القرطاجيّين في العهد البوني.younes anox نقل مؤقت الحرب البونية الأولى بدأت هذه الحرب عندما تدخلت روما بالقوة لتمنع قرطاج وسيراقوسة (مدينة في جزيرة صقلية) من السيطرة على بوغاز مسينا وهو الخليج الواقع بين صقلية وإيطاليا، وأصبحت روما، حينئذ، قوة بحرية مكافئة لمحاربة قرطاج. وخسر الطرفان كلاهما العديد من الأساطيل والكثير من الرجال، ولكن الحرب حُسمت لصالح روما بعد هزيمة صقلية وفوز روما في المعركة البحرية النهائيةوفرضها معاهدة سلم قاسية على قرطاج كان من شروطها انسحاب قرطاج من جزر البحر التيراني وتسليمها إلى روما، دفع غرامة مالية و لمدة 20 سنة و عدم تحالف كل طرف مع حلفاء الطرف الآخر. الحرب البونية الثانية نشبت إثر الحرب الأولى وكان سببها خرق قرطاج لمعاهدة السلم بينهما حيث أنها هاجمت بقيادة حنبعل القائد القرطاجي مدينة صاغنتوم بإسبانيا، وترجع جزئيًا إلى التنافس الإقليمي في أسبانيا بين روما وقرطاجة. عبر القائد القرطاجي الشهير هانيبال،بلاد الغال وجبال الألب واجتاح إيطاليا وخاض عدة حروب ربح في معضمها كمعركة كاني و معركة تراسيمانوس. 
ولكن الرومان هزموه عام 202ق.م، وتحملت قرطاج دفع غرامة كبيرة، كما تخلت عن أسبانيا. الحرب البونية الثالثة نشبت عندما تمردت قرطاج على القيود التي فرضتها معاهدة السلام الرومانية عام 201ق.م[]]. وفي هذه الحرب الثالثة تحطمت قرطاج تمامًا.
ويرجع انتصار روما في تلك الحروب إلى أن لديها أفضل الموارد والكثير من الجنود. أما قرطاج فعلى الرغم من أنها كانت الأكثر ثراء في البداية، غير أنها اعتمدت على المرتزقة وقد أكد هانيبال أن المرتزقة قاتلوا ببسالة، ولكن لم يتوافر العدد الكافي منهم."
"شعر (أدب)"	"تعديلات البند الرابع من المقدمة يحتوي على بعض الآراء الغير موضوعية في تعريف الشعر. فالبنود الأربعة تتحدث عن بعض ما يميز الشعر، مع ان بعضها فيها اختلاف، لكن البند الرابع يأتي لينص ان الشعر لا يكون شعرا دون وجود عواطف! كيف اذن تصنف القصائد التعليمية؟ أقترح اقتصار البند الرابع الى الجملة الأولى فقط (اقترح بالخاصة حذف عبارة ""ولكن لابد واكرر لابد من وجود العاطفة"" لأسباب واضحة). أما بالنسبة الى الجمل التي تلي البند الرابع فأرى حذفها بالكامل. ويكيبيديا موسوعة. ويكيبيديا ليست مدونة لطرح آراء او خواطر متعلقة بأي حالة نفسية قد يعتقد البعض انها مرتبطة بكون الشخص شاعرا. AbbasAD (نقاش) 06:31، 13 يونيو 2011 (ت ع م)"
"Main Page"	"تحويل نقاش:الصفحة الرئيسية"
"عمان (مدينة)"	"
مركز|150بكالأرشيف: «۱» شعار امانة عمان الجديد ارجو من الاخوة الكرام القيام بتعديل الشعار القديم لامانة عمان واضافة الشعار الجديد في اللغات العربية والانجليزية للصفحة من هنا يمكنكم تحميل شعار امانة عمان عامر الخليلي (نقاش) 19:59، 23 فبراير 2009 (ت‌ع‌م) ما هو وجه الشبه عند المقدسي ؟ تقول المقالة حاليا:  أتمنى بيان وجه الشبه الذي ساقه المقدسي--حارس المرمى (نقاش) 16:28، 5 أغسطس 2009 (ت‌ع‌م)"
